 


  
  

NCAA Men's Soccer
Division IPoints Per Game
Through Games 12/12/2022

Goals x 2 + assists must equal points
       
"Rank","Name","Team","Cl","Pos","Games","Goals","Assists","Points","Per Game"
"","Shafique Wilson","UAlbany","Jr.","GK","15","1350:00","61","4.07"
"46","James Anderson","Fairfield","Jr.","GK","18","1620:00","73","4.06"
"47","Colin Welsh","Memphis","So.","GK","19","1738:23","77","4.05"
"","Cooper Wenzel","CSUN","So.","GK","19","1710:00","77","4.05"
"49","Cooper Clark","Kansas City","Sr.","GK","17","1458:42","68","4.00"
"","Johan Garibay","Gonzaga","Jr.","GK","18","1551:42","72","4.00"
"","Alec McLachlan","St. Francis Brooklyn","Fr.","GK","14","1300:00","56","4.00"
"52","Gabriel Perrotta","UNCW","Sr.","GK","17","1409:07","67","3.94"
"","Matt Zambetti","Massachusetts","Sr.","GK","17","1451:08","67","3.94"
"54","Leo Stritter","Presbyterian","Fr.","GK","16","1380:55","63","3.94"
"55","Guillaume Veinante","Rider","Sr.","GK","17","1485:52","66","3.88"
"56","Jake  Langley","George Mason","Sr.","GK","15","1340:53","58","3.87"
"57","Eric Cotton","Pacific","Sr.","GK","13","1080:00","50","3.85"
"58","Dagoberto Romero","Ga. Southern","Fr.","GK","12","972:00","46","3.83"
"59","Zenden Hart","St. John's (NY)","Fr.","GK","11","931:57","42","3.82"
"60","Ryan Schewe","Georgetown","Jr.","GK","15","1345:00","57","3.80"
"61","Andrew Sway","UNLV","Jr.","GK","14","1260:00","53","3.79"
"62","Kent Dickey","Villanova","Sr.","GK","17","1530:00","64","3.76"
"","Alex Flowers","Western Ill.","Jr.","GK","17","1530:00","64","3.76"
"64","Michael Collodi","Columbia","Sr.","GK","15","1350:00","56","3.73"
"65","Javier Ramirez","Gardner-Webb","Fr.","GK","14","1187:26","52","3.71"
"66","Juanvi Muñoz","UCF","Fr.","GK","13","1170:00","48","3.69"
"67","Ben Martino","Virginia Tech","So.","GK","16","1409:29","59","3.69"
"","Mats Roorda","Binghamton","Sr.","GK","16","1440:18","59","3.69"
"69","Luis Ludosan","Saint Joseph's","Jr.","GK","14","1260:00","51","3.64"
"","Oskar Nilsson","Harvard","Sr.","GK","14","1239:28","51","3.64"
"71","Pierce Holbrook","Navy","So.","GK","19","1730:00","69","3.63"
"72","Filippo Dadone","CSU Bakersfield","Jr.","GK","16","1313:06","58","3.63"
"73","Hunter Morse","Western Mich.","Sr.","GK","21","1907:57","76","3.62"
"74","Edgar Guerra","Sacramento St.","Fr.","GK","10","859:55","36","3.60"
"","Bram Kaarsgaren","SMU","Sr.","GK","10","861:34","36","3.60"
"76","Adam Vik","Delaware","Fr.","GK","17","1530:00","61","3.59"
"77","Sebastian Conlon","James Madison","Fr.","GK","19","1698:39","68","3.58"
"78","Leon Schmidt","Grand Canyon","So.","GK","14","1221:35","50","3.57"
"79","Tobias Jahn","Green Bay","So.","GK","16","1440:00","57","3.56"
"80","Olly Marshall","Col. of Charleston","Fr.","GK","11","990:00","39","3.55"
"81","John Byszewski","Air Force","Sr.","GK","15","1336:51","53","3.53"
"","Henrik Weiper","Brown","Fr.","GK","15","1350:00","53","3.53"
"83","Justin Grady","George Washington","Sr.","GK","17","1410:43","60","3.53"
"84","Samuel Reisgys","NJIT","Sr.","GK","16","1395:00","56","3.50"
"","Leroy Zeller","UC Santa Barbara","Jr.","GK","20","1820:00","70","3.50"
"86","Jeremy Coste","Oral Roberts","Sr.","GK","17","1550:00","59","3.47"
"","Spencer King","FDU","Sr.","GK","17","1440:00","59","3.47"
"88","Trevor McMullen","Mercer","Jr.","GK","15","1350:00","52","3.47"
"89","Marco Seyfert","Chicago St.","Sr.","GK","13","1170:00","45","3.46"
"90","Joe van der Sar","Pittsburgh","Sr.","GK","22","2020:00","76","3.45"
"91","Jackson Weyman","South Fla.","Sr.","GK","20","1800:00","69","3.45"
"92","Gabriel Gjergji","Butler","Sr.","GK","19","1678:48","65","3.42"
"93","Juan Alfaro Monge","Iona","So.","GK","17","1530:00","58","3.41"
"94","Elian Haddock","Yale","Sr.","GK","15","1350:00","51","3.40"
"","Lucas Hatsios","NC State","So.","GK","15","1370:00","51","3.40"
"96","Alessandro Capogna","Drexel","Jr.","GK","18","1619:22","61","3.39"
"","Karl Netzell","Quinnipiac","Fr.","GK","18","1595:00","61","3.39"
"98","Hayden Evans","Michigan","So.","GK","13","1170:00","44","3.38"
"99","Ben Alexander","South Carolina","Fr.","GK","16","1436:58","54","3.38"
"","Max Hinke","Rhode Island","Fr.","GK","16","1440:00","54","3.38"
"","Eric Waltz","San Francisco","Jr.","GK","16","1394:11","54","3.38"
"102","Holden Brown","Virginia","So.","GK","19","1750:00","64","3.37"
"","David Sweeney","San Jose St.","Sr.","GK","19","1730:00","64","3.37"
"104","Chandler Hallwood","Marquette","Sr.","GK","11","984:26","37","3.36"
"105","Martin Sanchez","NIU","Sr.","GK","14","1226:54","47","3.36"
"106","Colby Hegarty","Northeastern","Jr.","GK","18","1620:00","60","3.33"
"","Collin Travasos","California","Jr.","GK","15","1333:19","50","3.33"
"108","Nate Crockford","UCLA","So.","GK","19","1710:00","63","3.32"
"","Luke Pruter","UC Irvine","Jr.","GK","19","1730:00","63","3.32"
"110","Carter Abbott","Wisconsin","Sr.","GK","16","1460:00","53","3.31"
"","Ciaran Dalton","Rutgers","Fr.","GK","16","1460:00","53","3.31"
"","Keagan McLaughlin","Ohio St.","Sr.","GK","16","1460:00","53","3.31"
"113","Hannes Ronnholmen","Seton Hall","Sr.","GK","17","1530:00","56","3.29"
"","Justin Siegel","Sacred Heart","Sr.","GK","17","1524:04","56","3.29"
"115","Alex Lopez","Tulsa","So.","GK","14","1300:00","46","3.29"
"116","Cole Jensen","Xavier","Sr.","GK","18","1620:00","59","3.28"
"117","Wyatt Kistner","FGCU","Jr.","GK","15","1349:56","49","3.27"
"","Josh Tubbs","Holy Cross","So.","GK","15","1280:51","49","3.27"
"119","Jason Dubrovich","San Diego","Sr.","GK","19","1730:00","62","3.26"
"120","Brennan Klein","Boston College","Jr.","GK","12","1003:11","39","3.25"
"","Paul Kruse","Creighton","Sr.","GK","24","2084:41","78","3.25"
"","Francesco Montali","Boston U.","Sr.","GK","16","1451:23","52","3.25"
"123","Mitchell Wilson","LMU (CA)","Sr.","GK","18","1620:00","58","3.22"
"124","Joey Batrouni","Coastal Carolina","So.","GK","14","1203:14","45","3.21"
"125","Tetsuya Kadono","Cal St. Fullerton","Jr.","GK","19","1637:32","61","3.21"
"126","Demetri Skoumbakis","Fordham","Sr.","GK","10","900:00","32","3.20"
"127","Eliot Hamill","Duke","Sr.","GK","19","1710:00","60","3.16"
"128","Thomas Wallis","Charlotte","Jr.","GK","13","1170:00","41","3.15"
"129","Zach Schawl","Central Ark.","Jr.","GK","15","1306:57","47","3.13"
"130","Alex Vidizzoni","Evansville","Sr.","GK","17","1439:25","53","3.12"
"131","George Tasouris","Portland","Sr.","GK","21","1875:57","65","3.10"
"132","A.J. Bengds","UNC Asheville","Fr.","GK","11","791:43","34","3.09"
"133","William Watson","Princeton","So.","GK","12","975:37","37","3.08"
"134","Jacob Castro","San Diego St.","Jr.","GK","17","1530:00","52","3.06"
"","Sam Ilin","Marist","Sr.","GK","17","1523:43","52","3.06"
"136","Lukas Burns","Providence","Jr.","GK","11","990:00","33","3.00"
"","Eryk Dymora","Monmouth","So.","GK","15","1324:56","45","3.00"
"","John Ermini","VCU","So.","GK","16","1289:01","48","3.00"
"","Jabari Gray","Jacksonville","Jr.","GK","10","810:00","30","3.00"
"","Tomas Hut","Army West Point","So.","GK","14","1204:33","42","3.00"
"","Nate Logan","Belmont","Sr.","GK","17","1530:00","51","3.00"
"","Giacomo Piccardo","Davidson","Sr.","GK","11","966:19","33","3.00"
"","Nolan Premack","California Baptist","Jr.","GK","19","1730:00","57","3.00"
"","Russell Shealy","Syracuse","Sr.","GK","24","2220:00","72","3.00"
"145","Cameron Victor","Wofford","Jr.","GK","17","1530:00","50","2.94"
"146","Andrew Cooke","Colgate","Jr.","GK","16","1395:00","47","2.94"
"","Alexandre Durand","Longwood","Sr.","GK","16","1291:56","47","2.94"
"148","Kash Oladapo","Saint Mary's (CA)","Jr.","GK","13","1170:00","38","2.92"
"149","Felix Schaefer","Santa Clara","Jr.","GK","12","1062:40","35","2.92"
"150","Carlos Tofern","Saint Louis","Sr.","GK","17","1545:00","49","2.88"
Reclassifying
"NR","Alvaro Rodriguez","Merrimack","So.","GK","17","1516:04","92","5.41"
"NR","Tucker Mann","St. Thomas (MN)","Jr.","GK","12","1072:50","59","4.92"
"NR","Ryan Coutu","Stonehill","Jr.","GK","11","855:00","53","4.82"
"NR","Alec Meissner","Southern Ind.","Jr.","GK","16","1412:10","73","4.56"
"NR","Meldin Sabotic","Lindenwood","Fr.","GK","14","1170:00","55","3.93"
"NR","Javier Cuervo","Queens (NC)","Fr.","GK","9","776:13","33","3.67"
"NR","Dominic Peters","UC San Diego","Sr.","GK","17","1395:00","60","3.53"
"NR","Jacob Zimmerman","Utah Tech","So.","GK","11","945:00","38","3.45"
"NR","Matthew Brozovich","Bellarmine","Sr.","GK","15","1390:00","49","3.27"

NCAA Men's Soccer
Division IYellow Cards
Through Games 12/12/2022


"Rank","Name","Team","Cl","Pos","Yellow Cards"
"1","Amferny Sinclair","Syracuse","Sr.","M","10"
"2","Eduardo Perez","UIW","Jr.","M","9"
"3","Gabriel Alves","Marshall","Sr.","D","8"
"","Jefferson Amaya","High Point","Fr.","M","8"
"","Charles Auguste","Creighton","Sr.","M","8"
"","Clayton Duarte","Grand Canyon","So.","F","8"
"","Joel Garcia","San Jose St.","Jr.","D","8"
"","Jack Haywood","Butler","Sr.","M","8"
"","Shaun Joash","Grand Canyon","Sr.","F","8"
"","Mark O'Neill","Creighton","Jr.","M","8"
"","Alex Oliveira","Fairfield","Sr.","M","8"
"","Callum Watson","Creighton","Sr.","M","8"
"13","Samid Akanni","St. Francis Brooklyn","So.","F","7"
"","Sebastian Andreassen","Central Ark.","Sr.","F","7"
"","KK Baffour","Notre Dame","Fr.","M","7"
"","Maximus Barboto","NJIT","Fr.","M","7"
"","Habib Barry","Seattle U","Sr.","F","7"
"","Conor Behan","UNC Asheville","Jr.","M","7"
"","Taylor Calheira","UMBC","Jr.","F","7"
"","Roc Carles","Hofstra","Jr.","M","7"
"","Alonzo Clarke","Davidson","Fr.","-","7"
"","Akeim Clarke","North Carolina","Jr.","F","7"
"","Sebastian Gebhart","Vermont","Fr.","D","7"
"","Tony Gomez","FDU","Jr.","F","7"
"","Alberto Herranz","FDU","Jr.","D","7"
"","Carson Hickok","USC Upstate","So.","D","7"
"","AJ Johnson","CSUN","Jr.","M","7"
"","Leo Keller","Fla. Atlantic","So.","M","7"
"","Hugo Le Guennec","Rutgers","Sr.","D","7"
"","Hale Lombard","Lafayette","Jr.","F","7"
"","Bryce Meredith","Memphis","Sr.","M","7"
"","Owen O'Malley","Creighton","Jr.","M","7"
"","Kobe Perlaza","Wright St.","Jr.","D","7"
"","Giorgio Probo","Creighton","So.","M","7"
"","Cooper Riley","Pacific","Sr.","D","7"
"","Sam Robinson","Northern Ky.","Sr.","F","7"
"","Louis Robinson","Lipscomb","Sr.","D","7"
"","Adrian Schulze Solano","Vermont","So.","M","7"
"","Aleksander Vukovic","UC Riverside","So.","D","7"
"40","Joaquin Acuna","North Florida","So.","F","6"
"","Justin Aguirre-Rosas","NJIT","So.","M","6"
"","Davi Alves","FGCU","Sr.","M","6"
"","Jacob Babalai","Portland","So.","F","6"
"","Hugo Bacharach","FDU","Jr.","D","6"
"","Pedro Barbolla","Delaware","Jr.","D","6"
"","Carlos Barcia","Evansville","Jr.","M","6"
"","Draven Barnett","Temple","Fr.","M","6"
"","Loic Baures","Gonzaga","Jr.","D","6"
"","Thomas Beecham","California Baptist","Jr.","D","6"
"","Omar Boudaka","Gardner-Webb","Sr.","D","6"
"","Lashawn Brown","Furman","Fr.","M","6"
"","Will Buete","NC State","So.","M","6"
"","Steven Cahill","Col. of Charleston","Sr.","M","6"
"","Carlo Cavalar","Binghamton","So.","D","6"
"","Adrian Corona","NIU","Sr.","M","6"
"","Felipe Corral","DePaul","Fr.","M","6"
"","Ernesto Cueva","Cal St. Fullerton","Sr.","D","6"
"","Federico Cugge","Niagara","Sr.","F","6"
"","Nick Dang","Lipscomb","Fr.","D","6"
"","Goncalo Franco","NJIT","So.","M","6"
"","Richard Garcia","Cal Poly","Fr.","M","6"
"","Konstantinos Georgallides","Louisville","Fr.","F","6"
"","Thomas Gilej","Ohio St.","Jr.","D","6"
"","Greg Harris","Radford","Jr.","D","6"
"","Adam Hillis","UNCW","So.","M","6"
"","Matt Hoyt","Saint Peter's","Sr.","F","6"
"","Brian Johnson","Saint Louis","So.","M","6"
"","Jared Juleau","Marist","Jr.","M","6"
"","Christian Koontz","Seattle U","So.","D","6"
"","William Kulvik","Maryland","So.","D","6"
"","Nathan Lam","VMI","Sr.","M","6"
"","Antino Lopez","Duke","Jr.","D","6"
"","John Lynam","Wright St.","Sr.","F","6"
"","Felipe Marty","USC Upstate","Sr.","D","6"
"","Luke McBeth","Monmouth","Sr.","M","6"
"","Brandon McManus","Louisville","Sr.","F","6"
"","Medard Mikobi","IUPUI","So.","M","6"
"","Reese Miller","Virginia","Fr.","D","6"
"","Diba Nwegbo","William & Mary","Sr.","F","6"
"","Jules Oberg","Yale","Sr.","M","6"
"","Josef Paulus","Akron","Jr.","M","6"
"","Francesco Perinelli","Hofstra","Sr.","M","6"
"","Brock Pickett","Wright St.","So.","M","6"
"","Andre Puente","LIU","Jr.","D","6"
"","Quinn Rechner","Milwaukee","Jr.","D","6"
"","Jayson Repine","Niagara","Sr.","F","6"
"","Jibril Rodet","Grand Canyon","So.","M","6"
"","Zemi Rodriguez","American","So.","F","6"
"","Guillermo Rodriguez","UAB","Sr.","D","6"
"","Emile Rzepecki","Coastal Carolina","Sr.","M","6"
"","Alan Salmeron","Marquette","Sr.","M","6"
"","Ensa Sanneh","Manhattan","Jr.","F","6"
"","Baboucarr Sanyang","Hartford","Jr.","M","6"
"","Carlos Scheckermann","FIU","Sr.","D","6"
"","Jannis Schmidt","Cleveland St.","Sr.","M","6"
"","Jesper Schone Vogtengen","Siena","So.","D","6"
"","Jaylen Shannon","Western Mich.","Sr.","D","6"
"","Ahriá Simons","Northeastern","Sr.","D","6"
"","Tristan Singh","UTRGV","Jr.","D","6"
"","Griffin Stidham","UNC Asheville","So.","D","6"
"","Peter Stroud","Duke","Jr.","M","6"
"","Sabri Tajiti","Gardner-Webb","Fr.","F","6"
"","Bastian Toelhoej","Saint Mary's (CA)","Fr.","D","6"
"","Andres Torrealba","Northeastern","So.","M","6"
"","Daniel Tregansin","Cleveland St.","Sr.","M","6"
"","Jose Vivas","Evansville","So.","M","6"
"","Jack Wagoner","Indiana","Fr.","M","6"
"","Leo White","VMI","Sr.","M","6"
"","Arthur Widiez","Fla. Atlantic","Jr.","M","6"
"","Max Wilkins","Georgia St.","Sr.","F","6"
"","Armaan Wilson","Providence","Jr.","M","6"
"","Coen Wilson","Wright St.","So.","M","6"
"113","Aron Adalsteinsson","Delaware","Sr.","D","5"
"","Jacob Adams","Wright St.","Jr.","M","5"
"","Ariel Aguas","George Mason","Fr.","M","5"
"","Edgar Aguilar","FIU","So.","D","5"
"","Ivan Agyaakwah","Furman","So.","M","5"
"","Adel Al-Masude","Rider","Jr.","M","5"
"","Ian Albuquerque","Seton Hall","Jr.","M","5"
"","Calwayne Allen","Chicago St.","Sr.","M","5"
"","Mario Anaya","UC Irvine","So.","M","5"
"","Adam Aoumaich","Marshall","Jr.","F","5"
"","Gianluca Arcangeli","LMU (CA)","Sr.","M","5"
"","Jake Ashford","Creighton","Sr.","D","5"
"","Noah Atanda","Brown","Jr.","D","5"
"","Clarence Awoudor","Oregon St.","Fr.","F","5"
"","Shawn Azcueta","Milwaukee","Sr.","D","5"
"","Alejandro Barajas","Santa Clara","Sr.","M","5"
"","Hesron Barry","Green Bay","So.","D","5"
"","Joey Batrouni","Coastal Carolina","So.","GK","5"
"","Jonas Bickus","Stony Brook","So.","F","5"
"","Jack Birch","UNC Greensboro","So.","M","5"
"","Georg Bjarnason","California Baptist","Jr.","M","5"
"","David Boccuzzo","Louisville","Fr.","M","5"
"","Paul Bogarin","Xavier","Jr.","M","5"
"","Yannick Bright","New Hampshire","Jr.","M","5"
"","Pablo Brimeux","Gardner-Webb","Fr.","F","5"
"","Jovoney Brown","FGCU","Sr.","F","5"
"","Xavier Brown","Western Ill.","Sr.","M","5"
"","Caden Buckley","Santa Clara","So.","M","5"
"","Adria Capdevila","Oregon St.","Fr.","M","5"
"","Cesar Carbajal","UNLV","So.","D","5"
"","Iker Carew","Col. of Charleston","Fr.","F","5"
"","Ted Cargill","Boston College","Fr.","M","5"
"","Ashish Chattha","UC Irvine","Sr.","M","5"
"","Victor Claudel","Fla. Atlantic","Sr.","F","5"
"","Tyler Clegg","James Madison","Sr.","D","5"
"","Riley Clothier","Belmont","Fr.","D","5"
"","Kyle Colonna","San Diego St.","Sr.","D","5"
"","Eric Conerty","Western Mich.","Sr.","F","5"
"","Edgar Correia","IUPUI","Fr.","D","5"
"","Alberto Cruz","Memphis","Fr.","F","5"
"","Gonzalo  Cuevas","Omaha","Jr.","D","5"
"","Boyd Curry","Saint Mary's (CA)","Sr.","D","5"
"","Christian Curti","Syracuse","Sr.","D","5"
"","Luca Dahn","Seton Hall","Sr.","D","5"
"","Jelldrik Dallmann","Lipscomb","Sr.","F","5"
"","Clay Dawes","Georgia St.","Sr.","D","5"
"","Stefan DeLeone","Denver","Sr.","F","5"
"","Thomas DeVizio","Rutgers","Sr.","D","5"
"","Amer Dedic","Bowling Green","Fr.","D","5"
"","Anthony Denis","Manhattan","So.","D","5"
"","Jack Douglas","Bradley","Jr.","F","5"
"","Harry Downing","CSU Bakersfield","Jr.","D","5"
"","Alon Drey","FGCU","Fr.","M","5"
"","Best Emena","UIW","Jr.","M","5"
"","Timothy Ennin","Northeastern","Sr.","F","5"
"","Sam Fletcher","UC Santa Barbara","Sr.","M","5"
"","German Fuentes","Marist","Sr.","D","5"
"","Rocco Galati","Detroit Mercy","Sr.","M","5"
"","Albin Gashi","Virginia","Fr.","M","5"
"","Matteo Gasperoni","FIU","Sr.","M","5"
"","Hunter George","Maryland","Sr.","F","5"
"","Zach Golden","George Mason","Jr.","M","5"
"","Eliot Goldthorp","Hofstra","So.","M","5"
"","Antonio Gomez","California Baptist","Jr.","D","5"
"","Lucas Gonzalez","UC Santa Barbara","So.","M","5"
"","Emmanuel Hagan","UNC Greensboro","Jr.","D","5"
"","Brendan Herb","UNC Asheville","Jr.","M","5"
"","Louis Hiepen","UNLV","Jr.","D","5"
"","William Hitchcock","VCU","So.","M","5"
"","Tanner Hodgson","Western Mich.","Fr.","M","5"
"","Quenzi Huerman","Seton Hall","Jr.","M","5"
"","Alec Hughes","Massachusetts","Jr.","F","5"
"","Nick Hupe","Holy Cross","So.","D","5"
"","Ousman Jabang","Mercer","Sr.","D","5"
"","David Jackson","Navy","Jr.","M","5"
"","Julian Jakopovic","Saint Francis (PA)","Fr.","M","5"
"","Uros Jevtic","Cleveland St.","Fr.","D","5"
"","Andrew Johnson","Cornell","Fr.","D","5"
"","JP Jordan","SMU","So.","M","5"
"","Pat Kakayira","Loyola Maryland","Fr.","D","5"
"","Moritz Kappelsberger","Virginia","Sr.","D","5"
"","Aidan Kelly","Massachusetts","Fr.","D","5"
"","Sean Kgwakgwa","Jacksonville","So.","M","5"
"","Diego Konincks","Campbell","Sr.","D","5"
"","Yann Kouemi","Temple","Sr.","F","5"
"","Victor Kubel","Ga. Southern","Fr.","D","5"
"","Abdul Kuku","FGCU","Sr.","M","5"
"","Kasper Lehm","Elon","Sr.","D","5"
"","Alex Lemus","CSUN","Sr.","M","5"
"","Adam Lundegard","Clemson","So.","D","5"
"","Jayden Mace","Winthrop","Sr.","D","5"
"","Reudd Manin","St. Francis Brooklyn","Fr.","D","5"
"","Salvatore Mazzaferro","South Fla.","Sr.","D","5"
"","Adam McAleenan","Lipscomb","Jr.","M","5"
"","Kade McKenzie","Winthrop","Fr.","M","5"
"","Cole Mooney","VMI","So.","M","5"
"","Takeru  Moriyama","South Fla.","Jr.","M","5"
"","William Nilsson","South Carolina","Fr.","D","5"
"","Tomas Nunez","Seton Hall","Fr.","D","5"
"","Emmanuel Obiefuna","Niagara","So.","D","5"
"","Diego Ochoa","Boston College","So.","D","5"
"","Isaac Ochoa","UTRGV","Jr.","D","5"
"","Andre Ochoa","UCLA","Jr.","F","5"
"","Nadav Ohayon","FGCU","Fr.","D","5"
"","Alberto Ontiveros","UTRGV","Jr.","D","5"
"","Ben Ortiz","Utah Valley","Jr.","F","5"
"","Timothy Ospina","UIW","Fr.","-","5"
"","Ilijah Paul","Washington","So.","F","5"
"","Jason Pereira","Providence","Jr.","D","5"
"","Nemo Philipp","UC Santa Barbara","So.","M","5"
"","Adolfo Pino","California Baptist","Fr.","M","5"
"","Sam Pollard","Omaha","Sr.","M","5"
"","Jovan Prado","Memphis","Sr.","F","5"
"","Nigel Prince","Northwestern","Fr.","D","5"
"","Josh Ramsey","Notre Dame","So.","D","5"
"","Josh Redfield","San Jose St.","Sr.","D","5"
"","Tommy Redhead","Furman","Jr.","M","5"
"","Jack Rhead","CSUN","Jr.","M","5"
"","Jonathan Robinson","Western Mich.","So.","D","5"
"","Rodrigo Robles","James Madison","Jr.","M","5"
"","Tristan  Ronnestad-Stevens","Marquette","Fr.","M","5"
"","Anthony Rowan","FGCU","Jr.","D","5"
"","Jaume Rubio","Cleveland St.","Jr.","M","5"
"","Junior Saint Juste","South Carolina","Fr.","D","5"
"","Nikola Salopek","Eastern Ill.","Sr.","M","5"
"","Guillaume Sarrabayrouse","Rider","Sr.","D","5"
"","Burl Shepherd","Lipscomb","Sr.","F","5"
"","Ian Smith","Denver","Fr.","F","5"
"","Jared Smith","Quinnipiac","Jr.","D","5"
"","Ben Smith","Denver","Jr.","M","5"
"","Sander Sonsterud","Quinnipiac","So.","D","5"
"","Cole Sotack","Rutgers","Jr.","D","5"
"","Tyrese Spicer","Lipscomb","Jr.","F","5"
"","Slade Starnes","Furman","Fr.","D","5"
"","Andrew Stevens","Northwestern","Sr.","M","5"
"","Wade Stinson","Northern Ky.","Fr.","D","5"
"","Joseph Stocchetti","Fairfield","Jr.","M","5"
"","Callum Stretch","LMU (CA)","Jr.","D","5"
"","Gunnar Studenhofft","Manhattan","So.","F","5"
"","Hugo Tavares","NJIT","Fr.","M","5"
"","Dylan Thompson","UNC Asheville","So.","D","5"
"","Calem Tommy","NC State","Fr.","M","5"
"","Cannon Tootle","UNCW","Sr.","F","5"
"","Greg Tracey","Portland","Sr.","M","5"
"","Owen Travis","UAB","Jr.","D","5"
"","Mason Tunbridge","San Diego","Sr.","M","5"
"","Ethan Vermillion","IUPUI","Fr.","M","5"
"","Marco Vesterholm","Elon","Sr.","M","5"
"","Jackson Walti","Pittsburgh","Sr.","M","5"
"","Lane Warrington","Saint Louis","Sr.","M","5"
"","Cameron Weston","Memphis","Sr.","D","5"
"","Philipp Wujewitsch","Saint Joseph's","Fr.","D","5"
"","Milo Yosef","Marshall","Sr.","F","5"
"","Joey Zalinsky","Rutgers","So.","D","5"
"","Sam Zeeman","Houston Christian","Fr.","D","5"
"","Shane de Flores","Stanford","So.","M","5"
"","Joost de Schutter","Butler","Fr.","M","5"
"270","Ian Abbey","Rutgers","Fr.","F","4"
"","Ignacio Abeal Pou","SIUE","Jr.","F","4"
"","Matthew Acosta","Rutgers","So.","M","4"
"","Nonso Adimabua","California","Jr.","F","4"
"","Noah Adnan","Stanford","Jr.","D","4"
"","Stephen Afrifa","FIU","Sr.","F","4"
"","Carlo Agostinelli","Stanford","Jr.","F","4"
"","Knut Ahlander","SMU","Sr.","M","4"
"","Joey Akpunonu","Bowling Green","Jr.","D","4"
"","Abdullah Aljirafi","Howard","Jr.","M","4"
"","Kendall Allen","Xavier","Sr.","D","4"
"","Bradan Allen","Drake","Sr.","F","4"
"","Mattias Almeida Sundell","Seton Hall","Jr.","M","4"
"","Hasan Alsakati","Cal Poly","Fr.","F","4"
"","Juan Pablo Alvarez","CSU Bakersfield","Sr.","D","4"
"","Raz Amir","Fairfield","Jr.","F","4"
"","Fridtjof Andberg","Temple","Sr.","D","4"
"","Steven Anderson","LMU (CA)","Jr.","M","4"
"","Hayden Anderson","Memphis","Sr.","D","4"
"","Jason Aoyama","Navy","Jr.","M","4"
"","Matt Araujo","Rider","Sr.","M","4"
"","Deryn Armstrong","Northern Ky.","Jr.","M","4"
"","Ryan Baer","West Virginia","Jr.","M","4"
"","Sami Baiche","Northeastern","Fr.","M","4"
"","Danilo Bakoc","Cleveland St.","Sr.","D","4"
"","Cesar Banacloy","Drexel","Jr.","D","4"
"","Asher Barnes","Niagara","Jr.","F","4"
"","Jose Maria Barrera","Pacific","Fr.","M","4"
"","Zach Barrett","Vermont","Jr.","D","4"
"","Oscar Baudey","Cal Poly","Fr.","D","4"
"","Julian Beban","Holy Cross","Fr.","D","4"
"","Fabian Becerra","Loyola Chicago","Sr.","F","4"
"","Louis Beckett","Old Dominion","Fr.","M","4"
"","Viktor Benediktsson","Villanova","Sr.","D","4"
"","Ori Bitton","Cal Poly","So.","D","4"
"","Kameron Blaise","Stony Brook","Sr.","F","4"
"","Colin Blandford","VMI","Fr.","D","4"
"","Moise Bombito","New Hampshire","Jr.","D","4"
"","Kevin Bonilla","Portland","So.","D","4"
"","Yves Borie","Vermont","Sr.","M","4"
"","Blake Bowen","San Diego St.","Sr.","M","4"
"","Brandon Brackett","Memphis","Jr.","M","4"
"","Marcus Brenes","Villanova","Sr.","D","4"
"","Max Broughton","SIUE","So.","D","4"
"","Rom Brown","Northwestern","Jr.","M","4"
"","Fraser Brown","Northeastern","Fr.","F","4"
"","Joe Buck","Georgetown","So.","M","4"
"","Jason Bucknor","Michigan","So.","D","4"
"","Jason Budhai","Quinnipiac","Sr.","M","4"
"","Jonas Buechte","Akron","So.","D","4"
"","Christian Buendia","Saint Louis","So.","M","4"
"","Leo Burney","Penn","So.","D","4"
"","Michael Bush","Binghamton","Sr.","D","4"
"","Mason Butcher","Longwood","Jr.","D","4"
"","Noel Caliskan","LMU (CA)","Sr.","M","4"
"","Aly Camara","Iona","Jr.","F","4"
"","Brandon Cambridge","Portland","So.","M","4"
"","Paolo Carroll","Yale","Sr.","F","4"
"","Will Carson","George Mason","Fr.","D","4"
"","Mitchell Cashion","Tulsa","Sr.","D","4"
"","Oscar Cervantes","UC Irvine","Jr.","M","4"
"","Alex Churness","San Diego","Sr.","M","4"
"","Cam Cilley","Stanford","Sr.","M","4"
"","Dyson Clapier","Akron","So.","M","4"
"","Will Cleary","Stanford","Fr.","M","4"
"","Tom Climpson","Saint Peter's","Sr.","D","4"
"","Patrick Coleman","NIU","Jr.","M","4"
"","Harper Cook","Duquesne","Jr.","M","4"
"","Alejandro Coury","Colgate","So.","F","4"
"","Henrique Cruz","Marist","Sr.","M","4"
"","Joshua Dabora","Santa Clara","Jr.","F","4"
"","Dominik Danis","Omaha","Jr.","D","4"
"","Sam Davis","Lehigh","Fr.","D","4"
"","Jared DeMott","George Washington","So.","D","4"
"","Peter Dearle","Coastal Carolina","Sr.","D","4"
"","Florian Deletioglu","Fordham","Jr.","M","4"
"","Jack Denton","Missouri St.","Sr.","M","4"
"","Karim Diao","Central Ark.","Sr.","M","4"
"","Tiago Dias","UAlbany","So.","D","4"
"","Babacar Diene","Rider","Fr.","F","4"
"","Trevor Dillon","San Diego","Jr.","D","4"
"","Griffin Dillon","Maryland","So.","M","4"
"","Joao Domingues","FIU","Fr.","M","4"
